FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VDS
 V A V
499 -12 -2.98006E-06 -12
500 -13 -3.13793E-06 -13
501 -14 -3.28469E-06 -14
502 -15 -3.42048E-06 -15
503 -16 -3.54629E-06 -16
504 -17 -3.66157E-06 -17
505 -18 -3.76819E-06 -18
506 -19 -3.86549E-06 -19
507 -20 -3.95486E-06 -20
508 -21 -4.03566E-06 -21
509 -22 -4.10953E-06 -22
510 -23 -4.17591E-06 -23
511 -24 -4.23639E-06 -24
512 -25 -4.29067E-06 -25
513 -26 -4.34007E-06 -26
514 -27 -4.38286E-06 -27
515 -28 -4.42221E-06 -28
516 -29 -4.45677E-06 -29
517 -30 -4.48797E-06 -30
518 -31 -4.51541E-06 -31
519 -32 -4.54044E-06 -32
520 -33 -4.56222E-06 -33
521 -34 -4.58113E-06 -34
522 -35 -4.59852E-06 -35
523 -36 -4.61341E-06 -36
524 -37 -4.62672E-06 -37
525 -38 -4.63833E-06 -38
526 -39 -4.64898E-06 -39
527 -40 -4.65793E-06 -40
528 -41 -4.66637E-06 -41
529 -42 -4.67372E-06 -42
530 -43 -4.68062E-06 -43
531 -44 -4.68636E-06 -44
532 -45 -4.69192E-06 -45
533 -46 -4.69662E-06 -46
534 -47 -4.70108E-06 -47
535 -48 -4.70535E-06 -48
536 -49 -4.70907E-06 -49
537 -50 -4.71256E-06 -50
538 -51 -4.7157E-06 -51
539 -52 -4.71826E-06 -52
540 -53 -4.72074E-06 -53
541 -54 -4.72408E-06 -54
542 -55 -4.72611E-06 -55
543 -56 -4.72853E-06 -56
544 -57 -4.73032E-06 -57
545 -58 -4.73236E-06 -58
546 -59 -4.7346E-06 -59
547 -60 -4.73618E-06 -60
548 -61 -4.73803E-06 -61
549 -62 -4.7399E-06 -62
550 -63 -4.7412E-06 -63
551 -64 -4.74323E-06 -64
552 -65 -4.74469E-06 -65
553 -66 -4.74608E-06 -66
554 -67 -4.74747E-06 -67
555 -68 -4.74878E-06 -68
556 -69 -4.75013E-06 -69
557 -70 -4.75091E-06 -70
558 -71 -4.75204E-06 -71
559 -72 -4.75305E-06 -72
560 -73 -4.75454E-06 -73
561 -74 -4.75556E-06 -74
562 -75 -4.7567E-06 -75
563 -76 -4.75832E-06 -76
564 -77 -4.75932E-06 -77
565 -78 -4.76006E-06 -78
566 -79 -4.76109E-06 -79
567 -80 -4.76209E-06 -80
568 0 6.038E-09 0
569 -1 -3.56432E-07 -1
570 -2 -6.93074E-07 -2
571 -3 -1.0116E-06 -3
572 -4 -1.31517E-06 -4
573 -5 -1.60114E-06 -5
574 -6 -1.86948E-06 -6
575 -7 -2.12347E-06 -7
576 -8 -2.36192E-06 -8
577 -9 -2.58744E-06 -9
578 -10 -2.79723E-06 -10
579 -11 -2.99503E-06 -11
580 -12 -3.17984E-06 -12
581 -13 -3.35126E-06 -13
582 -14 -3.51198E-06 -14
583 -15 -3.66079E-06 -15
584 -16 -3.79938E-06 -16
585 -17 -3.92652E-06 -17
586 -18 -4.04491E-06 -18
587 -19 -4.15349E-06 -19
588 -20 -4.25343E-06 -20
589 -21 -4.34479E-06 -21
590 -22 -4.42844E-06 -22
591 -23 -4.50363E-06 -23
592 -24 -4.57319E-06 -24
593 -25 -4.6352E-06 -25
594 -26 -4.69121E-06 -26
595 -27 -4.74193E-06 -27
596 -28 -4.78757E-06 -28
597 -29 -4.82841E-06 -29
598 -30 -4.86462E-06 -30
599 -31 -4.89672E-06 -31
600 -32 -4.92555E-06 -32
601 -33 -4.95134E-06 -33
602 -34 -4.97417E-06 -34
603 -35 -4.99397E-06 -35
604 -36 -5.01272E-06 -36
605 -37 -5.02908E-06 -37
